Date,Name,Year,Letterboxd URI
2024-08-02,A Quiet Place: Day One,2024,https://boxd.it/sDAi
2024-08-05,Lost in Translation,2003,https://boxd.it/2b0E
2024-08-05,The Human Centipede 2 (Full Sequence),2011,https://boxd.it/2yqg
2024-08-05,The Human Centipede 3 (Final Sequence),2015,https://boxd.it/3hRc
2024-08-08,The Worst Person in the World,2021,https://boxd.it/oyws
2024-08-08,(500) Days of Summer,2009,https://boxd.it/1EmM
2024-08-10,The Martian,2015,https://boxd.it/8SeG
2024-08-18,Train to Busan,2016,https://boxd.it/dSQU
2024-08-18,Four's a Crowd,2022,https://boxd.it/tLqs
2024-08-20,Just Cause,1995,https://boxd.it/1Zgq
2024-08-22,Phenomena,2023,https://boxd.it/EBUu
2024-08-23,Beautiful Boy,2018,https://boxd.it/g76Q
2024-08-30,Patriots Day,2016,https://boxd.it/dyo2
2024-08-31,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2024-09-04,Thesis,1996,https://boxd.it/1Z1U
2024-09-08,Perfect Blue,1997,https://boxd.it/1W7A
2024-09-08,mid90s,2018,https://boxd.it/fxIa
2024-09-08,Loving Vincent,2017,https://boxd.it/biIQ
2024-09-18,Overdose,1983,https://boxd.it/3owK
2024-09-20,El Pico 2,1984,https://boxd.it/3q52
2024-10-13,The Unemployment Club,2021,https://boxd.it/uuTY
2024-10-13,Navajeros,1980,https://boxd.it/3Ole
2025-01-17,The Boy and the Heron,2023,https://boxd.it/ipeM
2025-02-02,Nosferatu,2024,https://boxd.it/f5eG
2025-02-02,Babygirl,2024,https://boxd.it/Fvai
2025-02-02,The Pursuit of Happyness,2006,https://boxd.it/28PE
2025-02-20,The 47,2024,https://boxd.it/IvNU
2025-02-23,The Teacher Who Promised the Sea,2023,https://boxd.it/CKje
2025-02-26,Parasite,2019,https://boxd.it/hTha
2025-03-07,Anora,2024,https://boxd.it/Egcw
2025-06-25,I'm Still Here,2024,https://boxd.it/BPEO
2025-06-25,Sound of Metal,2019,https://boxd.it/i7Q4
2025-06-26,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2025-06-30,Midnight in Paris,2011,https://boxd.it/i4a
2025-07-01,How to Train Your Dragon,2025,https://boxd.it/F7Je
2025-07-02,The Monkey,2025,https://boxd.it/Gwiu
2025-07-09,Bring Her Back,2025,https://boxd.it/Hxlc
2025-07-22,Jurassic World Rebirth,2025,https://boxd.it/KUeE
2025-07-25,The Number 23,2007,https://boxd.it/258C
2025-07-25,Children of Men,2006,https://boxd.it/1Y2i
2025-08-02,One Hour Photo,2002,https://boxd.it/1YT2
2025-08-05,Presence,2024,https://boxd.it/H88i
2025-08-06,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2025-08-06,Bullet Train,2022,https://boxd.it/qW26
